id,名称,别名(释名),气味,主治,附方,生长,考释
113,贝母,空草,味辛平,主治伤寒烦热，淋沥，邪气，疝瘕，喉痹，乳难。金疮风痉,,,
114,栝楼,地楼,味苦寒,主治消渴，身热烦满，大热。补虚安中，续绝伤,,川谷山阴,
115,丹参,却蝉草,味苦微寒无毒,主治心腹邪气，肠鸣幽幽如走水，寒热积聚，破癥除瘕，止烦满，益气,,山谷,
116,玄参,重台,味苦微寒无毒,主治腹中寒热积聚，女子产乳余疾。补肾气，令人目明,,川谷,
117,苦参,水槐/苦識,味苦寒,主治心腹结气，疝瘕积聚，黄疸，溺有余沥，逐水，除痈肿。补中，明目止泪,,山谷田野,
118,狗脊,百枝,味苦平,主腰背强，关机缓急，周痹，寒湿膝痛。颇利老人,,川谷,
119,萆薢,,味苦平,主治腰背痛强，骨节风寒湿周痹。恶疮不瘳，热气,,山谷,
120,通草,附支,味辛平,主去恶虫，除脾胃寒热，通利九窍血脉关节，令人不忘,,山谷,
121,瞿麦,巨句麦,味苦寒,主治关格诸癃结，小便不通，出刺，决痈肿，明目去翳，破胎堕子，下闭血,,川谷,
122,败酱,鹿肠,味苦平,主治暴热火疮，赤气，疥瘙疽痔，马鞍，热气,,川谷,
123,白芷,芳香,味辛温,主治女人漏下赤白，血闭，阴肿，寒热，风头，侵目泪出，长肌肤，润泽，可作面脂,,川谷,
124,杜若,杜蘅,味辛微温,主治胸胁下逆气，温中，风入脑户，头肿痛，多涕泪出。久服益精，明目，轻身,,川泽,
125,紫草,紫丹/紫芙/地血,味苦寒,主心腹邪气，五疸，补中益气，利九窍，通水道,,山谷,
126,紫菀,,味苦温,主治咳逆上气，胸中寒热结气，去蛊毒痿蟨，安五脏,,山谷,
127,白鲜,,味苦寒,主治头风，黄疸，咳逆，淋沥，女子阴中肿痛，湿痹死肌，不可屈伸，起止行步,,川谷,
128,薇衔,麋衔,味苦平,主治风湿痹，历节痛，惊痫吐舌，悸气贼风，鼠瘘痈肿,,川泽,
129,白薇,,味苦平,主治暴中风身热，肢满，忽忽不知人，狂惑邪气，寒热酸疼，温疟洗洗，发作有时,,川泽,
130,葈耳实,胡葈/地葵,味甘温,主治风头寒痛，风湿周痹，四肢拘挛痛，恶肉死肌。久服益气，耳目聪明，强志轻身,,川谷,
131,茅根,兰根/茹根,味甘寒,主治劳伤虚羸，补中益气，除瘀血，血闭寒热，利小便。其苗主下水,,山谷,
132,酸酱,酢酱,味酸平,主治热烦满，定志益气，利水道，产难，吞其实立产,,川泽,
133,淫羊藿,刚前,味辛寒,主治阴痿，绝伤，茎中痛，利小便。益气力，强志,,山谷,
134,蠡实,剧草/三坚/豕首,味甘平,主治皮肤寒热，胃中热气，风寒湿痹。坚筋骨，令人嗜食。久服轻身。华叶，去白虫,,川谷,
135,款冬,槖吾/颗东/虎虚/菟奚,味辛温,主治咳逆上气，善喘，喉痹，诸惊痫，寒热邪气,,山谷,
136,防己,解离,味辛平,主治风寒温疟热气，诸痫，除邪利大小便,,川谷,
137,女菀,,味辛温,主治风寒洗洗，霍乱泄痢，肠鸣上下无常处，惊痫寒热百疾,,川谷,
138,泽兰,虎兰/龙枣,味酸无毒,主治乳妇衄血，中风余疾，大腹水肿，身面四支浮肿，骨节中水，金创，痈肿疮脓,,泽傍,
139,地榆,,味苦微寒,主治妇人乳痛，七伤，带下病，止痛，除恶肉，止汗，疗金创,,山谷,
140,王孙,,味苦平无毒,主治五脏邪气，寒湿痹，四肢疼酸，膝冷痛,,川谷,
141,爵床,,味咸寒,主治腰脊痛不得著床，俯仰艰难，除热，可作浴汤,,山谷,
