id,名称,别名(释名),气味,主治,附方,生长,考释
274,蜂子,蜚零,味甘平,主治风头，除蛊毒，补虚羸，伤中。久服令人光泽，好颜色，不老。大黄蜂子，主治心腹胀满痛，轻身益气。土蜂子，主治痈肿,,山谷,
275,牡蛎,蛎蛤,味咸平,主治伤寒寒热，温疟洒洒，惊恚怒气，除拘缓，鼠瘘，女子带下赤白。久服强骨节，杀邪鬼，延年,,池泽,
276,鲤鱼胆,,味苦寒,主治目热赤痛，青盲，明目。久服强悍益志气,,池泽,
277,鳢鱼,酮鱼,味甘寒,主治湿痹面目浮肿，下大水,,池泽,
278,犀角,,味苦寒,主治百毒蛊注，邪鬼瘴气，杀钩吻鸠羽蛇毒，除邪，不迷惑魇寐。久服轻身,,川谷,
279,羚羊角,,味咸寒,主明目益气起阴，去恶血注下，辟蛊毒恶鬼不祥，安心气，常不魇寐。久服强筋骨轻身,,川谷,
280,羖羊角,,味咸温,主治青盲，明目，杀疥虫，止寒泄，辟恶鬼虎狼，止惊悸。久服安心益气轻身,,川谷,
281,白马茎,,味咸平,主治伤中脉绝，阴不起。强志益气，长肌肉，肥健生子。眼，主治惊痫腹满疟疾。悬蹄，主治惊邪瘈疭，乳难，辟恶气鬼毒蛊注不祥,,平泽,
282,狗阴茎,狗精,味咸平,主治伤中，阴痿不起，令强热大生子，除女子带下十二疾。胆，明目,,平泽,
283,鹿茸,,味甘温,主治漏下恶血，寒热惊痫，益气强志，生齿不老。角，主治恶疮痈肿，逐邪恶气，留血在阴中,,,
284,伏翼,蝙蝠,味咸平,主治目暝，明目，夜视有精光。久服令人喜乐媚好无忧,,太山川谷,
285,猬皮,,味苦平,主治五痔阴蚀，下血赤白，五色血汁不止，阴肿痛引腰背。酒煮杀之,,川谷,
286,石龙子,蜥蜴,味咸寒,主治五癃，邪结气，破石淋，下血，利小便水道,,川谷,
287,桑螵蛸,蚀肬,味咸平,主治伤中，疝瘕阴痿，益精生子，女子血闭腰痛，通五淋，利小便水道,,桑枝,
288,蚱蝉,,味咸寒,主治小儿惊痫，夜啼，癫病，寒热,,杨柳,
289,白僵蚕,,味咸,主治小儿惊痫夜啼，去三虫，灭黑鼾，令人面色好，男子阴疡病,,平泽,
290,木虻,魂常,味苦平,主治目赤痛，眥伤泪出，瘀血血闭，寒热酸斯，无子,,川泽,
291,蜚虻,,味苦微寒,主逐瘀血，破下血积坚癖癥瘕寒热，通利血脉及九窍,,川谷,
292,蜚廉,,味咸,主治血瘀，癥坚寒热，破积聚，喉咽痹，内寒无子,,川泽,
293,蛴螬,愤螃蛴,味咸微温,主治恶血血瘀，痹气，破折血在胁下坚满痛，月闭，目中淫肤，青翳白膜,,平泽,
294,蛞蝓,陵蠡,味咸寒,主治贼风喎僻，轶筋及脱肛，惊痫挛缩,,池泽,
295,海蛤,魁蛤,味苦平,主治咳逆上气，喘息烦满，胸痛寒热,,池泽,
296,文蛤,,,主治恶疮，蚀五痔,,,
297,龟甲,神屋,味咸平,主治漏下赤白，破癥瘕，痎疟，五痔阴蚀，湿痹，四肢重弱，小儿囟不合。久服轻身不饥,,池泽,
298,鳖甲,,味咸平,主治心腹癥瘕，坚积寒热，去痞，息肉，阴蚀，痔，恶肉,,池泽,
299,鮀鱼甲,,味辛微温,主治心腹癥瘕，伏坚积聚，寒热，女子崩中下血五色，小腹阴中相引痛，疥疮死肌,,池泽,
300,乌贼鱼骨,,味咸微温,主治女子漏下赤白经汁，血闭，阴蚀肿痛，寒热，癥瘕，无子,,池泽,
301,蟹,,味咸寒,主治胸中邪气，热结痛，喎僻面肿。败漆。烧之致鼠,,池泽,
302,虾蟇,,味辛寒,主治邪气，破癥坚血，痈肿阴疮。服之不患热病,,池泽,
303,六畜毛蹄甲,,味咸平,主治鬼注蛊毒，寒热，惊痫，癫痓狂走。骆驼毛尤良,,,
304,鼯鼠,,,主堕胎，令易产,,,
305,麋脂,宫脂,味辛温,主治痈肿恶疮死饥，寒风湿痹，四肢拘缓不收，风头肿气，通凑理,,山谷,
306,豚卵,豚颠,味甘溫,主治惊癇癲疾，鬼注蛊毒，除寒热，賁豚，五癃，邪气，挛缩。悬蹄，主治五痔，伏热在肠，肠痈内蚀,,,
307,鷰屎,,味心平,主治蛊毒，鬼注，逐不祥邪气，破五癃，利小便,,高山平谷,
308,天鼠屎,鼠沽/石肝,味辛寒,主治面目痈肿，皮肤洗洗时痛，腹中血气，破寒热积聚，除惊悸,,合浦山谷,
309,露蜂房,蜂场,味苦平,主治惊痫瘈疭，寒热邪气，癫疾，鬼精蛊毒，肠痔。火熬之良,,山谷,
310,樗鸡,,味苦平,主治心腹邪气，阴痿，益精强志，生子，好色。补中轻身,,川谷,
311,蟅虫,地鳖,味咸寒,主治心腹寒热洗洗，血积癥瘕，破堅，下血闭，生子大良,,川泽,
312,水蛭,,味咸平,主逐恶血瘀血月闭，破血瘕积聚，无子，利水道,,池泽,
313,石蚕,沙虱,味酸无毒,主治五癃，破五淋，堕胎。肉，解结气，利水道，除热,,池泽,
314,蛇蜕,龙子衣/蛇符/龙子单衣/弓皮,味咸平,主治小儿百二十种惊痫，瘈疭，癫疾，寒热，肠痔，虫毒，蛇痫。火熬之良,,山谷,
315,吴公,,味辛温,主鬼注蛊毒，噉诸蛇虫鱼毒，杀鬼物老精，温疟，去三虫,,川谷,
316,马陆,百足,味辛温,主治腹中大坚蒸，破积聚，息肉恶疮，白秃,,川谷,
317,翳螉,,味辛平,主治久聋，欬逆，毒气，出刺，出汗,,川谷,
318,雀瓮,躁舍,味甘平,主治小儿惊痫，寒热结气，蛊毒，鬼注,,,
319,彼子,,味甘温,主治腹中邪气，去三虫，蛇螫，蛊毒，鬼注，伏尸,,,
320,鼠妇,蟠贞/伊咸,味酸温,主治气癃不得小便，妇人月闭血瘕，痫痓寒热，利水道,,平谷,
321,萤火,夜光,味辛微温,主明目，小儿火疮伤，热气，蛊毒鬼注，通神精,,池泽,
322,衣鱼,白鱼,味咸温无毒,主治妇人疝瘕，小便不利，小儿中风项强，皆宜摩之,,平泽,
323,白颈蚯蚓,,味咸寒,主治蛇瘕，去三虫，伏尸，鬼注蛊毒，杀长虫。仍自化作水,,平土,
324,蝼蛄,蟪蛄/天蝼/螜,味咸寒,主治产难，出肉中刺，溃痈肿，下哽噎，解毒，除恶疮。夜出者良,,平泽,
325,蜣蜋,吉螃蜣,味咸寒,主治小儿惊痫瘈疭，腹胀寒热，大人癫疾狂易。火熬之良,,池泽,
326,螌蝥,龙尾,味辛寒,主治寒热鬼注蛊毒，鼠瘘，恶疮，疽蚀，死肌，破石癃,,川谷,
327,地胆,元青,味辛寒,主治鬼注寒热，鼠瘘恶疮，死积，破癥瘕，堕胎,,川谷,
328,马刀,,味辛微寒有毒,主治漏下赤白，寒热，破石淋，杀禽兽贼鼠,,池泽,
329,贝子,,味咸平,主治目翳，鬼注，蛊毒，腹痛，下血，五癃，利水道。烧用之良,,池泽,
330,蒲陶,,味甘平,主治筋骨湿痹，益气倍力强志，令人肥健，耐饥忍风寒。久食轻身不老延年。可作酒,,山谷,
331,蓬蔂,覆盆,味酸平,主安五藏，益精气，长阴令坚，强志倍力，有子。久服轻身不老,,平泽,
332,大枣,,味甘平,主治心腹邪气，安中养脾，助十二经，平胃气，通九窍，补少气少津液，身中不足，大惊，四肢重。和百药。久服轻身长年。叶覆麻黄，能令出汗,,平泽,
333,藕实茎,水芝,味甘平,主补中养神，益气力，除百疾。久服轻身耐老，不饥延年,,池泽,
334,鸡头,雁喙,味甘平,主治湿痹，腰脊膝痛，补中，除百疾，益精气，强志，耳目聪明。久服轻身不饥，耐老神仙,,池泽,
335,甘瓜子,,味甘平,主令人悦泽，好颜色，益气不饥。久服轻身耐老,,,
336,瓜蒂,土芝,味苦寒,主治大水，身面四肢浮肿，下水，杀蛊毒，欬逆上气；食诸果不消，病在胸腹中，皆吐下之,,平泽,
337,冬葵子,,味甘寒,主治五藏六腑寒热羸瘦，破五淋，利小便。久服坚骨长肌肉，轻身延年,,,
338,苋实,马苋,味甘寒,主治青盲明目，除邪，利大小便，去寒热。久服益气力，不饥轻身,,川泽,
339,苦菜,荼草/选,味苦寒,主治五藏邪气，厌榖胃痹。久服安心益气，聪察少卧，轻身耐老,,川谷,
340,梅实,,味酸平,主下气，除热烦满，安心，肢体痛，偏枯不仁，死肌。去青黑志，恶疾,,川谷,
341,蓼实,,味辛温,主明目温中，耐风寒，下水气，面目浮肿，痈疡。马蓼，去肠中蛭虫。轻身,,川泽,
342,葱实,,味辛温,主明目，补中不足。其茎，可作汤，主治伤寒寒热，出汗，中风面目肿,,,
343,薤,,味辛,主治金创创败。轻身不饥耐老,,平泽,
344,水苏,,味辛微温,主下气杀榖，辟口臭，去毒，辟恶气。久服通神明，轻身耐老,,池泽,
345,杏核,,味甘温,主治欬逆上气，雷鸣，喉痹，下气，产乳，金创，寒心，贲豚,,川谷,
346,桃核,,味苦平,主治瘀血，血闭，瘕，邪气，杀小虫,,,
347,桃华,,,杀注恶鬼。令人好颜色,,,
348,桃枭,,微温,杀百鬼精物,,,
349,桃毛,,,主下血瘕，寒热积聚，无子,,,
350,桃蠹,,,杀鬼邪恶不祥,,山谷,
351,苦瓠,,味苦寒,主治大水面目四肢浮肿，下水。令人吐,,山泽,
352,水靳,水英,味甘平,主治女子赤沃，止血，养精，保血脉，益气，令人肥健嗜食,,池泽,
353,胡麻,巨胜,味甘平无毒,主治伤中虚羸，补五内，益气力，长肌肉，填脑髓。久服轻身不老。叶名青蘘，,,川谷,
354,麻蕡,,味辛平,主治七伤，利五藏，下血寒气，多食令人见鬼狂走。久服通神明轻身,,,
355,麻子,麻勃,味甘平,主补中益气。久服肥健不老,,川谷,
356,赤小豆,,,主下水，排痈肿脓血,,平泽,
357,粟米,,味苦无毒,主养肾气，去胃脾中热，益气。陈者味苦，主治胃热，消渴，利小便,,,
358,黍米,,味甘无毒,主益气补中，多热令人烦,,,
359,腐婢,,味辛平,主治痎疟寒热，邪气，泄利，阴不起，病酒头痛,,,
